instance,method,seed,iters,top_k,C1,C2,C3,runtime_sec
instance1.json,ENT1_LOCAL,1,600,3,39,29,-9,0.032811
instance1.json,ENT1_LOCAL,2,600,3,39,32,-7,0.032213
instance1.json,ENT1_LOCAL,3,600,3,39,34,-7,0.031725
instance1.json,ENT1_SA,1,120,3,39,34,-9,0.65147
instance1.json,ENT1_SA,2,120,3,39,37,-7,0.73996
instance1.json,ENT1_SA,3,120,3,39,36,-7,0.661246
instance1.json,SA,1,500,3,39,34,-9,3.133621
instance1.json,SA,2,500,3,39,37,-7,3.312968
instance1.json,SA,3,500,3,39,36,-7,3.293805
instance1.json,ILS,1,15,3,39,33,-9,0.432506
instance1.json,ILS,2,15,3,39,34,-7,0.431008
instance1.json,ILS,3,15,3,39,34,-7,0.432667
instance1.json,GA,1,15,3,39,34,-3,0.021365
instance1.json,GA,2,15,3,39,34,-5,0.020962
instance1.json,GA,3,15,3,39,35,-7,0.019886
instance10.json,ENT1_LOCAL,1,600,3,220,146,-1,0.163544
instance10.json,ENT1_LOCAL,2,600,3,219,149,-2,0.1634
instance10.json,ENT1_LOCAL,3,600,3,220,143,-2,0.166247
instance10.json,ENT1_SA,1,120,3,220,170,-1,3.58374
instance10.json,ENT1_SA,2,120,3,220,178,-2,3.608422
instance10.json,ENT1_SA,3,120,3,220,176,-2,3.526183
instance10.json,SA,1,500,3,220,194,-1,15.907126
instance10.json,SA,2,500,3,220,192,-2,16.370824
instance10.json,SA,3,500,3,220,192,-2,15.757796
instance10.json,ILS,1,15,3,220,157,-1,2.337162
instance10.json,ILS,2,15,3,220,154,-2,2.240659
instance10.json,ILS,3,15,3,220,162,-2,2.347222
instance10.json,GA,1,15,3,220,148,-1,0.109898
instance10.json,GA,2,15,3,220,151,-1,0.108002
instance10.json,GA,3,15,3,220,147,-2,0.108374
instance2.json,ENT1_LOCAL,1,600,3,43,38,-5,0.036208
instance2.json,ENT1_LOCAL,2,600,3,43,37,-5,0.036032
instance2.json,ENT1_LOCAL,3,600,3,43,37,-5,0.035505
instance2.json,ENT1_SA,1,120,3,43,42,-5,0.749807
instance2.json,ENT1_SA,2,120,3,43,41,-5,0.739022
instance2.json,ENT1_SA,3,120,3,43,41,-5,0.734015
instance2.json,SA,1,500,3,43,42,-5,3.601151
instance2.json,SA,2,500,3,43,41,-5,3.460953
instance2.json,SA,3,500,3,43,42,-5,3.280477
instance2.json,ILS,1,15,3,43,41,-5,0.439955
instance2.json,ILS,2,15,3,43,40,-5,0.432401
instance2.json,ILS,3,15,3,43,40,-5,0.430895
instance2.json,GA,1,15,3,43,40,-5,0.020349
instance2.json,GA,2,15,3,43,42,-5,0.020015
instance2.json,GA,3,15,3,43,41,-5,0.020833
instance3.json,ENT1_LOCAL,1,600,3,93,69,-6,0.056888
instance3.json,ENT1_LOCAL,2,600,3,94,75,-3,0.056608
instance3.json,ENT1_LOCAL,3,600,3,94,83,-4,0.056328
instance3.json,ENT1_SA,1,120,3,94,87,-6,1.195267
instance3.json,ENT1_SA,2,120,3,94,83,-3,1.186475
instance3.json,ENT1_SA,3,120,3,94,85,-4,1.197464
instance3.json,SA,1,500,3,94,87,-6,5.684562
instance3.json,SA,2,500,3,94,85,-3,5.795026
instance3.json,SA,3,500,3,94,84,-4,5.623317
instance3.json,ILS,1,15,3,94,77,-6,0.832551
instance3.json,ILS,2,15,3,94,79,-3,0.828731
instance3.json,ILS,3,15,3,94,82,-4,0.828706
instance3.json,GA,1,15,3,93,73,-5,0.045177
instance3.json,GA,2,15,3,94,68,-4,0.05071
instance3.json,GA,3,15,3,94,71,-4,0.048197
instance4.json,ENT1_LOCAL,1,600,3,95,69,-5,0.064096
instance4.json,ENT1_LOCAL,2,600,3,95,69,-4,0.059318
instance4.json,ENT1_LOCAL,3,600,3,95,72,-5,0.058376
instance4.json,ENT1_SA,1,120,3,95,83,-5,1.21389
instance4.json,ENT1_SA,2,120,3,95,85,-4,1.220059
instance4.json,ENT1_SA,3,120,3,95,85,-5,1.213982
instance4.json,SA,1,500,3,95,86,-5,5.67931
instance4.json,SA,2,500,3,95,89,-4,5.73855
instance4.json,SA,3,500,3,95,88,-5,5.640438
instance4.json,ILS,1,15,3,95,78,-5,0.792974
instance4.json,ILS,2,15,3,95,74,-4,0.856386
instance4.json,ILS,3,15,3,95,79,-5,0.840573
instance4.json,GA,1,15,3,95,73,-4,0.039872
instance4.json,GA,2,15,3,95,72,-5,0.040387
instance4.json,GA,3,15,3,95,72,-3,0.041328
instance5.json,ENT1_LOCAL,1,600,3,154,111,-13,0.099337
instance5.json,ENT1_LOCAL,2,600,3,152,122,-10,0.098405
instance5.json,ENT1_LOCAL,3,600,3,154,119,-12,0.097686
instance5.json,ENT1_SA,1,120,3,154,129,-13,1.955251
instance5.json,ENT1_SA,2,120,3,154,131,-10,1.950576
instance5.json,ENT1_SA,3,120,3,154,136,-12,1.988429
instance5.json,SA,1,500,3,154,140,-13,8.974549
instance5.json,SA,2,500,3,154,143,-10,9.085873
instance5.json,SA,3,500,3,154,139,-12,9.233206
instance5.json,ILS,1,15,3,154,115,-13,1.225903
instance5.json,ILS,2,15,3,154,117,-10,1.237345
instance5.json,ILS,3,15,3,154,118,-12,1.256554
instance5.json,GA,1,15,3,154,123,-10,0.058181
instance5.json,GA,2,15,3,154,126,-12,0.05825
instance5.json,GA,3,15,3,154,128,-9,0.058114
instance6.json,ENT1_LOCAL,1,600,3,157,124,-9,0.097459
instance6.json,ENT1_LOCAL,2,600,3,157,123,-9,0.098958
instance6.json,ENT1_LOCAL,3,600,3,157,115,-9,0.099534
instance6.json,ENT1_SA,1,120,3,157,136,-9,2.166307
instance6.json,ENT1_SA,2,120,3,157,139,-9,2.038523
instance6.json,ENT1_SA,3,120,3,157,132,-9,1.950404
instance6.json,SA,1,500,3,157,144,-9,9.149215
instance6.json,SA,2,500,3,157,144,-9,9.158509
instance6.json,SA,3,500,3,157,143,-9,9.238287
instance6.json,ILS,1,15,3,157,124,-9,1.344139
instance6.json,ILS,2,15,3,157,126,-9,1.208406
instance6.json,ILS,3,15,3,157,127,-9,1.232775
instance6.json,GA,1,15,3,157,129,-9,0.058423
instance6.json,GA,2,15,3,157,127,-12,0.058376
instance6.json,GA,3,15,3,157,124,-10,0.059014
instance7.json,ENT1_LOCAL,1,600,3,194,113,-3,0.124035
instance7.json,ENT1_LOCAL,2,600,3,192,129,-3,0.122075
instance7.json,ENT1_LOCAL,3,600,3,190,129,-2,0.134135
instance7.json,ENT1_SA,1,120,3,194,155,-3,2.950787
instance7.json,ENT1_SA,2,120,3,194,155,-3,2.791468
instance7.json,ENT1_SA,3,120,3,194,154,-2,2.62929
instance7.json,SA,1,500,3,194,173,-3,11.994978
instance7.json,SA,2,500,3,194,175,-3,12.347254
instance7.json,SA,3,500,3,194,172,-2,12.153188
instance7.json,ILS,1,15,3,194,126,-3,1.705536
instance7.json,ILS,2,15,3,194,134,-3,1.692027
instance7.json,ILS,3,15,3,194,137,-2,1.698561
instance7.json,GA,1,15,3,194,132,-2,0.079445
instance7.json,GA,2,15,3,193,133,-2,0.078789
instance7.json,GA,3,15,3,194,130,-3,0.078742
instance8.json,ENT1_LOCAL,1,600,3,183,130,-5,0.124115
instance8.json,ENT1_LOCAL,2,600,3,182,116,-8,0.122346
instance8.json,ENT1_LOCAL,3,600,3,183,116,-6,0.123421
instance8.json,ENT1_SA,1,120,3,183,155,-5,2.725442
instance8.json,ENT1_SA,2,120,3,183,149,-8,2.72224
instance8.json,ENT1_SA,3,120,3,183,149,-6,2.736441
instance8.json,SA,1,500,3,183,165,-5,12.488572
instance8.json,SA,2,500,3,183,165,-8,11.828993
instance8.json,SA,3,500,3,183,163,-6,12.353218
instance8.json,ILS,1,15,3,183,139,-5,1.831259
instance8.json,ILS,2,15,3,183,128,-8,1.7084
instance8.json,ILS,3,15,3,183,126,-6,1.743486
instance8.json,GA,1,15,3,183,133,-6,0.080245
instance8.json,GA,2,15,3,183,129,-5,0.079614
instance8.json,GA,3,15,3,183,132,-5,0.079504
instance9.json,ENT1_LOCAL,1,600,3,220,142,-1,0.15612
instance9.json,ENT1_LOCAL,2,600,3,221,145,-1,0.15493
instance9.json,ENT1_LOCAL,3,600,3,221,140,-1,0.154593
instance9.json,ENT1_SA,1,120,3,221,174,-1,3.369257
instance9.json,ENT1_SA,2,120,3,221,167,-1,3.377091
instance9.json,ENT1_SA,3,120,3,221,173,-1,3.340596
instance9.json,SA,1,500,3,221,193,-1,15.847791
instance9.json,SA,2,500,3,221,189,-1,15.486587
instance9.json,SA,3,500,3,221,194,-1,15.514504
instance9.json,ILS,1,15,3,221,157,-1,2.316348
instance9.json,ILS,2,15,3,221,157,-1,2.308315
instance9.json,ILS,3,15,3,221,151,-1,2.274703
instance9.json,GA,1,15,3,221,147,-1,0.098524
instance9.json,GA,2,15,3,221,147,-2,0.096651
instance9.json,GA,3,15,3,221,146,-2,0.098748
